SiteID,Model,abundance,stderr,deviance,df,AIC,BIC,infoFit,,,SiteID,Model,abundance,stderr,deviance,df,AIC,BIC,infoFit
Field 3,M0,89.75618344,15.09183693,102.9555883,125,146.8769139,150.7009599,0,,,Field 3,Mth Chao (LB),159.8811742,58.05138736,35.30494834,118,93.22627393,110.434481,1
Field 3,Mt,82.09384512,12.80194875,48.53722705,119,104.4585526,119.7547367,0,,,South Shore,Mt,115.4719429,40.11878867,21.51052829,119,65.08956623,78.19025551,1
Field 3,Mh Chao (LB),170.7089103,62.42258193,92.68293164,124,138.6042572,144.3403262,1,,,Tree Graveyard,Mbh,30.74774723,4.718517146,15.53723888,59,44.39570845,49.57905591,0
Field 3,Mh Poisson2,98.98698238,19.29044249,101.5510471,124,147.4723726,153.2084417,0,,,Combined,Mt,193.2639429,52.14612344,22.53135564,119,76.83623442,93.98131223,0
Field 3,Mh Darroch,175.3022523,72.66886152,98.3571118,124,144.2784374,150.0145064,0,,,,,,,,,,,
Field 3,Mh Gamma3.5,372.0463025,272.7811068,96.97547768,124,142.8968033,148.6328723,1,,,,,,,,,,,
Field 3,Mth Chao (LB),159.8811742,58.05138736,35.30494834,118,93.22627393,110.434481,1,,,,,,,,,,,
Field 3,Mth Poisson2,91.35726715,16.7108058,46.20830465,118,104.1296302,121.3378373,0,,,,,,,,,,,
Field 3,Mth Darroch,190.5866598,83.17719799,41.52665763,118,99.44798321,116.6561903,0,,,,,,,,,,,
Field 3,Mth Gamma3.5,510.8542905,409.8907037,39.82874878,118,97.75007436,114.9582814,1,,,,,,,,,,,
Field 3,Mb,204.4998406,314.4101188,101.63391,124,147.5552356,153.2913046,0,,,,,,,,,,,
Field 3,Mbh,72.60836771,22.18511308,91.28530611,123,139.2066317,146.8547237,0,,,,,,,,,,,
South Shore,M0,127.4642827,45.46798561,47.40278853,125,78.98182647,82.25699879,1,,,,,,,,,,,
South Shore,Mt,115.4719429,40.11878867,21.51052829,119,65.08956623,78.19025551,1,,,,,,,,,,,
South Shore,Mh Chao (LB),127.4642827,45.46798561,47.40278853,125,78.98182647,82.25699879,1,,,,,,,,,,,
South Shore,Mh Poisson2,38.03270427,28.05846214,46.30815043,124,79.88718837,84.79994685,13,,,,,,,,,,,
South Shore,Mh Darroch,38.00000754,0.018225605,46.30815031,124,79.88718825,84.79994673,13,,,,,,,,,,,
South Shore,Mh Gamma3.5,38.00000001,7.72E-05,46.30815042,124,79.88718836,84.79994684,3,,,,,,,,,,,
South Shore,Mth Chao (LB),115.4719415,40.11879024,21.51052831,118,67.08956626,81.82784169,1,,,,,,,,,,,
South Shore,Mth Poisson2,38.01362574,26.10289148,20.51818831,118,66.09722625,80.83550169,13,,,,,,,,,,,
South Shore,Mth Darroch,38.00000412,0.01334701,20.51818833,118,66.09722628,80.83550171,13,,,,,,,,,,,
South Shore,Mth Gamma3.5,38,2.21E-05,20.51818831,118,66.09722625,80.83550169,3,,,,,,,,,,,
South Shore,Mb,95.28905281,82.97388138,47.32459744,124,80.90363538,85.81639386,0,,,,,,,,,,,
South Shore,Mbh,50.51188341,12.56527326,39.79540595,123,75.37444389,81.92478853,0,,,,,,,,,,,
Tree Graveyard,M0,168.6557609,111.4241694,22.50226979,61,47.36073936,49.9524131,1,,,,,,,,,,,
Tree Graveyard,Mt,158.3241271,103.8036519,12.1232063,56,46.98167587,56.05253393,1,,,,,,,,,,,
Tree Graveyard,Mh Chao (LB),168.6557609,111.4241694,22.50226979,61,47.36073936,49.9524131,1,,,,,,,,,,,
Tree Graveyard,Mh Poisson2,27.10868157,135.1772945,22.3413488,60,49.19981837,53.08732897,13,,,,,,,,,,,
Tree Graveyard,Mh Darroch,27.00009234,0.227868691,22.3413488,60,49.19981837,53.08732897,13,,,,,,,,,,,
Tree Graveyard,Mh Gamma3.5,27.00000004,0.000249946,22.34134876,60,49.19981833,53.08732893,3,,,,,,,,,,,
Tree Graveyard,Mth Chao (LB),158.3241271,103.8036519,12.1232063,56,46.98167587,56.05253393,1,,,,,,,,,,,
Tree Graveyard,Mth Poisson2,27.06440294,131.3879891,11.97454355,55,48.83301312,59.19970805,13,,,,,,,,,,,
Tree Graveyard,Mth Darroch,27.00003974,0.150410844,11.97454356,55,48.83301313,59.19970806,13,,,,,,,,,,,
Tree Graveyard,Mth Gamma3.5,27.00000001,0.000128865,11.97454354,55,48.83301311,59.19970804,3,,,,,,,,,,,
Tree Graveyard,Mb,41.58437855,16.31848518,20.8371147,60,47.69558427,51.58309487,0,,,,,,,,,,,
Tree Graveyard,Mbh,30.74774723,4.718517146,15.53723888,59,44.39570845,49.57905591,0,,,,,,,,,,,
Combined,M0,210.4291265,58.10590066,63.40292146,125,105.7078002,109.9940697,0,,,,,,,,,,,
Combined,Mt,193.2639429,52.14612344,22.53135564,119,76.83623442,93.98131223,0,,,,,,,,,,,
Combined,Mh Chao (LB),210.4291265,58.10590066,63.40292146,125,105.7078002,109.9940697,0,,,,,,,,,,,
Combined,Mh Poisson2,63.03367185,35.65969489,61.56845023,124,105.873329,112.3027332,13,,,,,,,,,,,
Combined,Mh Darroch,63.00000762,0.018149315,61.5684502,124,105.873329,112.3027331,13,,,,,,,,,,,
Combined,Mh Gamma3.5,63,6.81E-05,61.56845031,124,105.8733291,112.3027333,3,,,,,,,,,,,
Combined,Mth Chao (LB),193.2639411,52.14612414,22.53135566,118,78.83623444,98.12444697,0,,,,,,,,,,,
Combined,Mth Poisson2,63.0234216,33.77962027,20.86394755,118,77.16882633,96.45703886,13,,,,,,,,,,,
Combined,Mth Darroch,63.00000422,0.013491824,20.86394754,118,77.16882631,96.45703885,13,,,,,,,,,,,
Combined,Mth Gamma3.5,63,1.98E-05,20.86394751,118,77.16882628,96.45703882,3,,,,,,,,,,,
Combined,Mb,106.0827811,33.74383392,61.82476139,124,106.1296402,112.5590443,0,,,,,,,,,,,
Combined,Mbh,75.77728748,10.67971605,50.6961613,123,97.00104008,105.573579,0,,,,,,,,,,,
